Historique;Date
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;29-04-99
MS-HD 10'-0 x 30 x 42D 20T 2T,MI,3CD;28-04-99
MS-HD 11'-0 x 24 x 36D 20T 2T,PPMDA,3CD;28-04-99
MS-HD 11'-0 x 30 x 42D 20T 2T,PPMDA,MI,3CD;28-04-99
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD;28-04-99
BBFL 11'-0 x 30 x 36D 00 DPL,SANS MAIN,SOID,MI;28-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;27-04-99
BMT-S 20'-0 x 6048 x 54I 50T SOH,S3/8,PHL,2T,T-R,CC,MI,E1,P1,CLÉà7,LF3/16,LC3/16;27-04-99
BMT-S 17'-0 x 48 x 60I 40T DHD,F3/8,S3/8,D1/4,C 1/4,PHL,2T,TRTA à 80.5,MI,LP 3/16B,LF 3/8,LC1/4;27-04-99
BMT-S 17'-0 x 48 x 60I 40T DHD,F3/8,S3/8,D1/4,C 1/4,PHL,2T,TRTA à 80.5,MI,LP 3/16B,LF 3/8,LC1/4;27-04-99
BFL-S 18'-0 x 24 x 36D 00 ROLL-OFF,POC,OPM,ROFFROL;26-04-99
EL-250 22'-0 x 6048 x 60I 9T DPP66,F3/8,SOH,S3/8,D1/4,PHL,2T,MI;26-04-99
EL-250 22'-0 x 6048 x 60I 9T DPP66,F3/8,SOH,S3/8,D1/4,PHL,2T,MI;26-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;26-04-99
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD;25-04-99
BMT-S 14'-0 x 48 x 60D 30T 2T,MI,3CD;25-04-99
BMT-S 15'-0 x 42 x 54I 00 ROLL-OFF,0T0TC,MI,OPM,3CD,ROFFROL;25-04-99
BMT-S 15'-0 x 42 x 54I 00 ROLL-OFF,0T0TC,MI,OPM,3CD,ROFFROL;25-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;24-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;24-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;24-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;24-04-99
BBFS 10'-0 x 30 x 36D 00 DPL,SOID,MI;23-04-99
BBFS 10'-0 x 30 x 36D 00 DPL,SOID,MI;23-04-99
BMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,3CD;22-04-99
BMS 14'-0 x 54 x 66D 30T 2T,MI,0c0cSL,3CD;22-04-99
BFS 13'-0 x 42 x 48I 00 DPL,SOID,MI;22-04-99
BBFL 13'-0 x 36 x 48D 20T 2T,PPMDA,CC,MI,CLÉ,2CD;21-04-99
BFL-S 14'-6 x 42 x 48D 00 ROLL-OFF,POC,MI,OPM,2CD (G)(  )(G),SANS B-A10,ROFFROL;21-04-99
BFL-S 16'-0 x 42 x 48D 00 ROLL-OFF,POC,0T0TC,MI,OPM,SANS B-A10,ROFFROL;21-04-99
BMT-S 17'-6 x 54 x 60I 40T PHL,3T,MI,CLÉ,2CD,VIB;21-04-99
EL-250 22'-0 x 6048 x 60I 9T DPP66,F3/8,SOH,S3/8,D1/4,PHL,2T,MI;20-04-99
BMT-S 14'-0 x 54 x 60I 30T S3/8,2T,MI,LF 3/8;20-04-99
BMT-S 17'-0 x 48 x 60I 40T DHD,S3/8,D1/4,PHL,MI,LF1/4,LC3/16;20-04-99
BMT-S 18'-0 x 54 x 60I 40T F3/8,S3/8,C 1/4,PHL,2T,MI,CLÉ,1CD,VIB,FEIN;20-04-99
